score,deciles
0.0672335,1
0.07311838,2
0.117289044,4
0.09663815,3
0.14575046,5
0.07688636,2
0.06486642,1
0.12753369,5
0.08104308,2
0.11676728,4
0.08999411,3
0.25330764,8
0.5903013,10
0.1239516,5
0.085588165,2
0.5903013,10
0.10451046,4
0.21527891,7
0.1889137,7
0.17972305,7
0.07828685,2
0.0846758,2
0.06206006,1
0.20552653,7
0.26920992,8
0.12806232,5
0.17828585,7
0.120244384,4
0.18908964,7
0.4862482,10
0.097240254,3
0.25104186,8
0.13729988,5
0.16802557,6
0.08172356,2
0.1242154,5
0.0672335,1
0.20991243,7
0.28420565,8
0.096406244,3
0.19313172,7
0.5800934,10
0.38017803,9
0.2002059,7
0.09200846,3
0.06886661,1
0.09331926,3
0.25168514,8
0.3909557,9
0.13450196,5
0.09683366,3
0.11806762,4
0.5831282,10
0.12873286,5
0.55812657,10
0.08428869,2
0.16056783,6
0.09873083,3
0.12851857,5
0.17510064,6
0.06160505,1
0.063584596,1
0.25168654,8
0.06948247,1
0.07996266,2
0.27910087,8
0.13791321,5
0.18723702,7
0.15298116,6
0.060630493,1
0.071103014,2
0.14130518,5
0.09641602,3
0.23200016,8
0.060630493,1
0.12824962,5
0.07879679,2
0.27851677,8
0.11981439,4
0.15348417,6
0.29990438,9
0.082652286,2
0.09660231,3
0.15597367,6
0.07162349,2
0.16758858,6
0.09199447,3
0.14576748,5
0.07162349,2
0.19573511,7
0.2576019,8
0.24425416,8
0.21752279,7
0.22559138,8
0.07173227,2
0.56663406,10
0.11684756,4
0.091878295,3
0.5996534,10
0.10961616,4
0.3693872,9
0.5898377,10
0.33982387,9
0.54465455,10
0.085695304,2
0.13133378,5
0.08461836,2
0.12389671,5
0.08192352,2
0.06160505,1
0.086885884,3
0.116962284,4
0.34493998,9
0.072936155,2
0.14171317,5
0.17592895,6
0.23740551,8
0.10815349,4
0.1493463,5
0.08103408,2
0.07272688,2
0.21582966,7
0.13707143,5
0.060630493,1
0.15430099,6
0.5768321,10
0.2553382,8
0.22409679,8
0.59911704,10
0.15543704,6
0.18620396,7
0.095649794,3
0.072315805,2
0.14396618,5
0.09097009,3
0.43630067,9
0.06805141,1
0.4742758,10
0.09809377,3
0.092497036,3
0.12009092,4
0.060630493,1
0.5697426,10
0.083597295,2
0.0673432,1
0.55462515,10
0.113561966,4
0.15005983,5
0.2503727,8
0.0672335,1
0.06160505,1
0.0707208,1
0.15976596,6
0.15281306,6
0.20179488,7
0.11854642,4
0.06297272,1
0.2451765,8
0.07278115,2
0.15263176,6
0.55012494,10
0.10566625,4
0.11338129,4
0.3909557,9
0.16507642,6
0.122333035,5
0.0630782,1
0.398367,9
0.118911564,4
0.23200016,8
0.20307556,7
0.09722493,3
0.17474793,6
0.15183182,6
0.08882517,3
0.067577705,1
0.0672335,1
0.114294045,4
0.21514226,7
0.24623966,8
0.14308709,5
0.07260969,2
0.5559418,10
0.17914566,7
0.3905248,9
0.17771919,7
0.5861096,10
0.117638215,4
0.0673432,1
0.2339622,8
0.57555497,10
0.13075995,5
0.21451674,7
0.13133264,5
0.3900557,9
0.07613883,2
0.5919861,10
0.2480744,8
0.071292624,2
0.16088423,6
0.09081774,3
0.24294022,8
0.18224353,7
0.21571137,7
0.21022074,7
0.38729602,9
0.116603255,4
0.10179003,3
0.3496113,9
0.08375844,2
0.16463737,6
0.5594532,10
0.41792345,9
0.15450676,6
0.14668196,5
0.12052853,4
0.17228124,6
0.116962284,4
0.19655162,7
0.06653443,1
0.19826753,7
0.08152892,2
0.20229994,7
0.31412488,9
0.12579978,5
0.068095244,1
0.52311516,10
0.07284003,2
0.57909435,10
0.15864173,6
0.12384864,5
0.359957,9
0.26274344,8
0.11586793,4
0.11147057,4
0.07339162,2
0.24101456,8
0.11684353,4
0.17815112,7
0.08143174,2
0.2841232,8
0.6140287,10
0.14228873,5
0.06089529,1
0.1940484,7
0.06160505,1
0.15450676,6
0.11919272,4
0.0711532,2
0.16569687,6
0.12686536,5
0.1795727,7
0.15430099,6
0.11820468,4
0.066994414,1
0.2974004,9
0.11496728,4
0.42199206,9
0.07266901,2
0.26644418,8
0.162036,6
0.24429248,8
0.11278472,4
0.2764012,8
0.24861015,8
0.118911564,4
0.17711633,7
0.07164529,2
0.116332345,4
0.0672335,1
0.39376953,9
0.60134894,10
0.085693695,2
0.6177475,10
0.10896567,4
0.47879964,10
0.23755455,8
0.06160505,1
0.28083846,8
0.1269745,5
0.15735297,6
0.07215855,2
0.15772472,6
0.06717913,1
0.08964675,3
0.21605343,7
0.41381857,9
0.3676671,9
0.11661604,4
0.39513788,9
0.07028006,1
0.27698588,8
0.15510663,6
0.38263157,9
0.155724,6
0.0673432,1
0.35107964,9
0.07445625,2
0.3317542,9
0.06576426,1
0.0672335,1
0.08112865,2
0.10339125,4
0.20749122,7
0.10513716,4
0.59065413,10
0.43385595,9
0.15348417,6
0.067577705,1
0.5763282,10
0.28401276,8
0.40393552,9
0.0672335,1
0.1239029,5
0.07082434,1
0.15735297,6
0.18638387,7
0.0863269,3
0.085515104,2
0.17081529,6
0.14886501,5
0.15906794,6
0.60418594,10
0.5880482,10
0.55278945,10
0.100990504,3
0.1493304,5
0.22970556,8
0.08349308,2
0.06833218,1
0.20636901,7
0.21851763,7
0.55744815,10
0.14310089,5
0.40111285,9
0.22708675,8
0.08740151,3
0.11676728,4
0.15450676,6
0.33375973,9
0.31376317,9
0.092378706,3
0.31497332,9
0.21565148,7
0.5796246,10
0.24296337,8
0.18097757,7
0.16469963,6
0.476401,10
0.22110675,8
0.3982871,9
0.21157642,7
0.11905673,4
0.11689946,4
0.061873827,1
0.22435665,8
0.17333958,6
0.07339162,2
0.06655331,1
0.06405458,1
0.08263399,2
0.15348417,6
0.1056248,4
0.15450676,6
0.33794126,9
0.08595871,3
0.06177912,1
0.070873454,1
0.60342854,10
0.0753896,2
0.3701105,9
0.18690777,7
0.45584205,10
0.14141415,5
0.10601351,4
0.16252698,6
0.06763429,1
0.19608288,7
0.49723434,10
0.5836206,10
0.15430099,6
0.5515529,10
0.14886501,5
0.34494928,9
0.076090984,2
0.5532632,10
0.12149916,4
0.103907265,4
0.159443,6
0.15450676,6
0.23270462,8
0.48698518,10
0.5861096,10
0.20539308,7
0.5532632,10
0.085629314,2
0.36058924,9
0.100684725,3
0.14517564,5
0.114834994,4
0.08898738,3
0.20954613,7
0.22557919,8
0.14886501,5
0.07082434,1
0.4037609,9
0.5532632,10
0.2974004,9
0.57844454,10
0.30636376,9
0.07311838,2
0.13472205,5
0.20570028,7
0.2399519,8
0.23577565,8
0.5861096,10
0.55278945,10
0.47246838,10
0.070873454,1
0.07533642,2
0.1685362,6
0.0707208,1
0.55462515,10
0.103913635,4
0.23702793,8
0.094811685,3
0.06177912,1
0.06684972,1
0.16140789,6
0.12016672,4
0.4148837,9
0.16521192,6
0.08178725,2
0.13007283,5
0.3690825,9
0.30941945,9
0.08487186,2
0.1580244,6
0.20747349,7
0.35795927,9
0.16242443,6
0.072450005,2
0.15450676,6
0.2018264,7
0.0672335,1
0.1959734,7
0.1586415,6
0.0711532,2
0.12959497,5
0.3213915,9
0.11960532,4
0.59122616,10
0.070949905,2
0.33906054,9
0.15188596,6
0.122333035,5
0.09965557,3
0.23200016,8
0.11507939,4
0.58850354,10
0.092622295,3
0.37842563,9
0.12554124,5
0.071563505,2
0.107448496,4
0.2544482,8
0.4888758,10
0.5261457,10
0.4601602,10
0.14224316,5
0.41883582,9
0.2605668,8
0.15597367,6
0.15450676,6
0.12637806,5
0.071292624,2
0.14596634,5
0.18947072,7
0.06436279,1
0.07306902,2
0.1529877,6
0.14235571,5
0.23702648,8
0.09836367,3
0.30430737,9
0.19230296,7
0.118090674,4
0.21568081,7
0.1684773,6
0.29125923,8
0.5678277,10
0.20784965,7
0.07980815,2
0.07272688,2
0.071103014,2
0.08359951,2
0.616583,10
0.06160505,1
0.10141117,3
0.07540996,2
0.09454572,3
0.60395753,10
0.41170517,9
0.56519866,10
0.13608617,5
0.3733942,9
0.066809565,1
0.15713033,6
0.3815397,9
0.13144195,5
0.5775532,10
0.1628279,6
0.10211477,3
0.15005983,5
0.22057506,8
0.43154988,9
0.27638677,8
0.0672335,1
0.09438722,3
0.14623591,5
0.33325282,9
0.06160505,1
0.15954791,6
0.23348354,8
0.06597794,1
0.07424297,2
0.1145513,4
0.08910417,3
0.15348417,6
0.33174285,9
0.11707098,4
0.3142971,9
0.11708238,4
0.10198114,3
0.25677264,8
0.11859164,4
0.22872092,8
0.08981629,3
0.23808368,8
0.16063122,6
0.06160505,1
0.15430099,6
0.32398087,9
0.37329432,9
0.22544281,8
0.21188529,7
0.19786441,7
0.1493374,5
0.099790595,3
0.49731725,10
0.32461852,9
0.15972313,6
0.18353054,7
0.5889676,10
0.0792389,2
0.19774503,7
0.12819032,5
0.22341737,8
0.0672335,1
0.07291123,2
0.1981673,7
0.14310856,5
0.1915496,7
0.13440078,5
0.11106532,4
0.06160505,1
0.067577705,1
0.0672335,1
0.21697485,7
0.06160505,1
0.25597414,8
0.24565093,8
0.5185119,10
0.11855199,4
0.18640074,7
0.25211138,8
0.20552601,7
0.15395088,6
0.15188596,6
0.07100678,2
0.4742662,10
0.20233321,7
0.22283667,8
0.5532632,10
0.15206811,6
0.09267325,3
0.19938518,7
0.09777598,3
0.23022242,8
0.13776365,5
0.116731554,4
0.07209528,2
0.25485572,8
0.09530592,3
0.5903013,10
0.54933965,10
0.56960064,10
0.11337495,4
0.13002452,5
0.54769474,10
0.15086667,6
0.11538498,4
0.29143238,8
0.5831282,10
0.15348417,6
0.0881377,3
0.096877605,3
0.118736506,4
0.22564468,8
0.23949884,8
0.1390909,5
0.19595398,7
0.161637,6
0.12279537,5
0.23034273,8
0.13843866,5
0.16102456,6
0.15005983,5
0.14117533,5
0.07202496,2
0.32297164,9
0.10331977,4
0.43286476,9
0.07311838,2
0.08202451,2
0.22123638,8
0.17510064,6
0.06160505,1
0.08622991,3
0.09715495,3
0.09395234,3
0.4975067,10
0.10304646,4
0.19938034,7
0.27388477,8
0.11693648,4
0.09340679,3
0.22119983,8
0.38284567,9
0.09115263,3
0.06717913,1
0.070873454,1
0.21582966,7
0.32926804,9
0.094811685,3
0.08333102,2
0.117638215,4
0.1242154,5
0.21565148,7
0.19534433,7
0.55989033,10
0.15005983,5
0.10777268,4
0.0711532,2
0.11597409,4
0.17742875,7
0.19893655,7
0.19640692,7
0.1494435,5
0.23200016,8
0.18330953,7
0.3181884,9
0.17552075,6
0.15580758,6
0.15430099,6
0.6063632,10
0.3291683,9
0.113295965,4
0.48058757,10
0.1684773,6
0.34861752,9
0.3124328,9
0.38407654,9
0.17228124,6
0.19052087,7
0.4146841,9
0.103651635,4
0.071292624,2
0.5514017,10
0.14337404,5
0.48249406,10
0.2718859,8
0.44413826,9
0.13180079,5
0.234438,8
0.15321764,6
0.3408389,9
0.21658398,7
0.14673373,5
0.1204464,4
0.07082434,1
0.14196138,5
0.33102375,9
0.21259187,7
0.12349508,5
0.59091216,10
0.060630493,1
0.31520653,9
0.25503382,8
0.11738142,4
0.42175058,9
0.24638806,8
0.06089529,1
0.13945715,5
0.364273,9
0.18635064,7
0.08569497,2
0.2337134,8
0.10487067,4
0.0712897,2
0.36564294,9
0.13081901,5
0.087083936,3
0.07122274,2
0.09359846,3
0.24729238,8
0.08957609,3
0.39498428,9
0.14449802,5
0.37817287,9
0.061873827,1
0.5593933,10
0.22186248,8
0.09777028,3
0.09645209,3
0.18234532,7
0.07512844,2
0.5532632,10
0.0926883,3
0.11786958,4
0.14801314,5
0.4569335,10
0.15777785,6
0.07326234,2
0.08997298,3
0.3567561,9
0.118644856,4
0.17013156,6
0.12542783,5
0.07209528,2
0.09100963,3
0.0957485,3
0.58642757,10
0.070593156,1
0.09320256,3
0.21459097,7
0.06160505,1
0.07371232,2
0.10352566,4
0.33213088,9
0.16758858,6
0.1296349,5
0.080151305,2
0.106824845,4
0.085695304,2
0.11101745,4
0.0672335,1
0.0655326,1
0.25414366,8
0.087402,3
0.56124806,10
0.08687069,3
0.067577705,1
0.34938958,9
0.11702779,4
0.09906816,3
0.073169686,2
0.09705161,3
0.11708238,4
0.101004094,3
0.15532608,6
0.2617478,8
0.084105715,2
0.061873827,1
0.4144045,9
0.48796907,10
0.43536937,9
0.17228124,6
0.15430099,6
0.21502031,7
0.08300638,2
0.35777304,9
0.20542493,7
0.06655331,1
0.22366644,8
0.23485647,8
0.2018264,7
0.5229994,10
0.22057506,8
0.2642862,8
0.06181155,1
0.23200016,8
0.58642757,10
0.1380506,5
0.10850938,4
0.2392256,8
0.1659341,6
0.35248294,9
0.39208776,9
0.13654135,5
0.07202496,2
0.07651641,2
0.2575705,8
0.19920653,7
0.3320863,9
0.43566877,9
0.24623966,8
0.094301455,3
0.104461715,4
0.1392582,5
0.06856333,1
0.086379685,3
0.21334943,7
0.29994106,9
0.3435566,9
0.17861566,7
0.1216476,4
0.105197854,4
0.4664661,10
0.07162349,2
0.45442837,10
0.23338164,8
0.12157101,4
0.24638806,8
0.31412488,9
0.14463942,5
0.3123698,9
0.06160505,1
0.20646097,7
0.13718548,5
0.20747349,7
0.15450676,6
0.14260553,5
0.14794885,5
0.19167018,7
0.15450676,6
0.1388273,5
0.21769044,7
0.42411864,9
0.24411668,8
0.118460596,4
0.5502569,10
0.5919861,10
0.072353914,2
0.24623966,8
0.30941945,9
0.2172394,7
0.14979932,5
0.09486297,3
0.21674627,7
0.20872489,7
0.15597367,6
0.27392176,8
0.38914979,9
0.13511004,5
0.13080738,5
0.11767936,4
0.12828827,5
0.18305598,7
0.12133414,4
0.09767742,3
0.116390646,4
0.090096824,3
0.081752196,2
0.51871145,10
0.11101745,4
0.21571137,7
0.5831282,10
0.11101745,4
0.5512943,10
0.06160505,1
0.21622333,7
0.09499905,3
0.09904673,3
0.23297293,8
0.16497585,6
0.49889672,10
0.15373345,6
0.11597409,4
0.11702779,4
0.1351514,5
0.21211319,7
0.33281875,9
0.096168734,3
0.109675765,4
0.11101745,4
0.5876386,10
0.06089529,1
0.36807722,9
0.13222615,5
0.112855606,4
0.092486694,3
0.5442473,10
0.08682873,3
0.16758858,6
0.13464795,5
0.14105575,5
0.118128434,4
0.48796907,10
0.06716552,1
0.06160505,1
0.11474913,4
0.06604345,1
0.21777664,7
0.087569095,3
0.0673432,1
0.1472129,5
0.20999661,7
0.56519866,10
0.56407756,10
0.090266526,3
0.34009206,9
0.068213366,1
0.15523419,6
0.15597367,6
0.12118814,4
0.1859209,7
0.09194396,3
0.08389845,2
0.21234377,7
0.082953095,2
0.24439389,8
0.11901263,4
0.28485018,8
0.11304892,4
0.34370485,9
0.10521866,4
0.11907196,4
0.15348417,6
0.26792088,8
0.0873333,3
0.11981439,4
0.08359878,2
0.1721356,6
0.60035294,10
0.22340141,8
0.08749413,3
0.22157402,8
0.0958057,3
0.5838536,10
0.11923981,4
0.10365819,4
0.2256684,8
0.06297272,1
0.59987354,10
0.15430099,6
0.5903013,10
0.5112834,10
0.16563623,6
0.35898852,9
0.6036814,10
0.37906814,9
0.08510551,2
0.43153512,9
0.17380232,6
0.0711532,2
0.5880482,10
0.59065413,10
0.0672335,1
0.15241651,6
0.14812136,5
0.08198058,2
0.11424275,4
0.2179954,7
0.099702306,3
0.07474384,2
0.10446408,4
0.15005983,5
0.19709171,7
0.23022242,8
0.08685728,3
0.15082145,6
0.17228124,6
0.27340275,8
0.27711955,8
0.104362234,4
0.33199143,9
0.1183671,4
0.08703279,3
0.07202496,2
0.3385341,9
0.23662014,8
0.11911473,4
0.11582621,4
0.197494,7
0.0672335,1
0.15136194,6
0.24288459,8
0.5903013,10
0.14861782,5
0.061153594,1
0.20603561,7
0.55895853,10
0.06653443,1
0.08064133,2
0.14906451,5
0.15094343,6
0.3903161,9
0.07202496,2
0.12502207,5
0.09126468,3
0.118911564,4
0.5570643,10
0.11579044,4
0.07122274,2
0.15835083,6
0.13791321,5
0.20753288,7
0.0707208,1
0.14942205,5
0.1287239,5
0.21481887,7
0.06520807,1
0.15188596,6
0.60771865,10
0.2409587,8
0.23200016,8
0.14545007,5
0.41648683,9
0.1383761,5
0.2992482,9
0.5522884,10
0.25460747,8
0.55482256,10
0.17258923,6
0.14294466,5
0.07311838,2
0.19499676,7
0.08933391,3
0.07941209,2
0.06886661,1
0.1913378,7
0.23156357,8
0.06404589,1
0.13812926,5
0.17323165,6
0.08386155,2
0.12994277,5
0.11316261,4
0.07159681,2
0.16764258,6
0.13422428,5
0.11747248,4
0.56401616,10
0.2831084,8
0.21423653,7
0.06918705,1
0.15188596,6
0.59065413,10
0.103420466,4
0.19395567,7
0.07173227,2
0.37137783,9
0.116603255,4
0.22186859,8
0.14577106,5
0.18454446,7
0.06964516,1
0.14416057,5
0.27040568,8
0.092698425,3
0.55462515,10
0.3004081,9
0.19746035,7
0.11101745,4
0.16181533,6
0.44402897,9
0.090116724,3
0.15160832,6
0.29665506,9
0.13723642,5
0.41339925,9
0.06297272,1
0.078425035,2
0.0673432,1
0.10439562,4
0.14824799,5
0.55462515,10
0.22306117,8
0.1683223,6
0.39165106,9
0.1973029,7
0.15502022,6
0.14906451,5
0.26590723,8
0.072115615,2
0.12545939,5
0.060801987,1
0.0711532,2
0.092558876,3
0.10235173,3
0.1261416,5
0.101831764,3
0.18713646,7
0.093321845,3
0.09721585,3
0.16921467,6
0.086358346,3
0.14827415,5
0.07100678,2
0.2058793,7
0.13262804,5
0.13908355,5
0.15629476,6
0.3301035,9
0.1286354,5
0.06160505,1
0.5919861,10
0.11957238,4
0.060630493,1
0.2018264,7
0.5508151,10
0.086184405,3
0.14962152,5
0.1883018,7
0.08095337,2
0.31697366,9
0.116528,4
0.28373355,8
0.15723933,6
0.18446103,7
0.13216005,5
0.07209528,2
0.36997023,9
0.06208117,1
0.06181155,1
0.17158845,6
0.20331989,7
0.14692657,5
0.4112186,9
0.15348417,6
0.09604188,3
0.4015077,9
0.17923754,7
0.19255315,7
0.22514202,8
0.08629888,3
0.108212166,4
0.06160505,1
0.16265543,6
0.19505768,7
0.18611395,7
0.0672335,1
0.07834827,2
0.39821163,9
0.11487321,4
0.10675512,4
0.07653063,2
0.33870175,9
0.06089529,1
0.06665727,1
0.3934076,9
0.16019072,6
0.13162717,5
0.5592938,10
0.2758578,8
0.39341122,9
0.49169812,10
0.5919861,10
0.23214665,8
0.22057506,8
0.3747253,9
0.57065773,10
0.07622705,2
0.0711532,2
0.26353332,8
0.43489012,9
0.21306436,7
0.124887034,5
0.11901263,4
0.060801987,1
0.41912916,9
0.32145575,9
0.11027558,4
0.08369858,2
0.25997743,8
0.13021041,5
0.29638892,9
0.21026652,7
0.15450676,6
0.07961822,2
0.094502956,3
0.13714036,5
0.46283907,10
0.36621678,9
0.12416551,5
0.19698533,7
0.095961764,3
0.15450676,6
0.096899845,3
0.18027948,7
0.22927171,8
0.24798527,8
0.08853469,3
0.20315197,7
0.10782521,4
0.18363085,7
0.5513552,10
0.07368554,2
0.5857716,10
0.5542698,10
0.3952132,9
0.21945822,7
0.38987145,9
0.3632094,9
0.31851888,9
0.14886501,5
0.12011986,4
0.0672335,1
0.60771865,10
0.08282433,2
0.20895667,7
0.17941213,7
0.07157732,2
0.118644856,4
0.33719024,9
0.119309515,4
0.5614009,10
0.1685362,6
0.5672617,10
0.18734987,7
0.09243971,3
0.22540884,8
0.07339162,2
0.37215856,9
0.15799716,6
0.16244906,6
0.07202496,2
0.23595813,8
0.3755149,9
0.47289255,10
0.11058791,4
0.22393489,8
0.5597125,10
0.15188596,6
0.14335169,5
0.07445393,2
0.124265544,5
0.25104186,8
0.1575015,6
0.098616496,3
0.0987514,3
0.43747875,9
0.070873454,1
0.08269311,2
0.1952781,7
0.1278248,5
0.55969334,10
0.09143674,3
0.14886501,5
0.36675736,9
0.3139839,9
0.11385919,4
0.11702779,4
0.07162349,2
0.08682871,3
0.07687313,2
0.0697095,1
0.11505455,4
0.3343326,9
0.18224353,7
0.43537423,9
0.15588056,6
0.24433218,8
0.21013089,7
0.060630493,1
0.21155895,7
0.19717857,7
0.070893586,2
0.1659341,6
0.30347708,9
0.07162349,2
0.10568748,4
0.084606335,2
0.14508516,5
0.24287271,8
0.5584566,10
0.21033391,7
0.113561966,4
0.07653422,2
0.11706562,4
0.07797377,2
0.096675344,3
0.21039718,7
0.27536556,8
0.15005983,5
0.55313027,10
0.15450676,6
0.59859985,10
0.09637686,3
0.16716842,6
0.07036944,1
0.32084227,9
0.55482256,10
0.2869064,8
0.11879547,4
0.1721356,6
0.12776801,5
0.3646491,9
0.10685724,4
0.20214932,7
0.0707208,1
0.0877168,3
0.15735297,6
0.5520229,10
0.39441064,9
0.16030192,6
0.14448014,5
0.12801161,5
0.62876403,10
0.5861096,10
0.21568081,7
0.10181242,3
0.13502954,5
0.067577705,1
0.077847295,2
0.061067484,1
0.094662234,3
0.17510064,6
0.3729223,9
0.2911353,8
0.06160505,1
0.084648006,2
0.20038033,7
0.26688564,8
0.10797746,4
0.22203006,8
0.23796028,8
0.08752987,3
0.42086267,9
0.28031668,8
0.4060512,9
0.12550475,5
0.12444048,5
0.15450676,6
0.24033278,8
0.57832634,10
0.08296564,2
0.08088877,2
0.32596526,9
0.072936155,2
0.3124015,9
0.108745724,4
0.34279698,9
0.060630493,1
0.24872932,8
0.06160505,1
0.115448706,4
0.0672335,1
0.073114686,2
0.54844403,10
0.18424182,7
0.07162349,2
0.46163034,10
0.5532632,10
0.24945782,8
0.22352816,8
0.06495034,1
0.120243736,4
0.06655331,1
0.15348417,6
0.5831282,10
0.11855199,4
0.5919861,10
0.37065986,9
0.21211319,7
0.11426011,4
0.14122362,5
0.09863195,3
0.07162349,2
0.067577705,1
0.08260494,2
0.22696362,8
0.13488044,5
0.14655395,5
0.15239045,6
0.105014145,4
0.21222956,7
0.107346326,4
0.41324177,9
0.12839612,5
0.07162349,2
0.12000903,4
0.08213436,2
0.3579841,9
0.6158946,10
0.33087978,9
0.070873454,1
0.24098279,8
0.14027765,5
0.18031749,7
0.06597794,1
0.072353914,2
0.18268333,7
